selling_price,km_driven,age,make,model,Petrol,Manual
1.2,120000,11,MARUTI,ALTO STD,1,1
5.5,20000,7,HYUNDAI,GRAND I10,1,1
2.15,60000,13,HYUNDAI,I20 ASTA,1,1
2.26,37000,11,MARUTI,ALTO K10,1,1
5.7,30000,8,FORD,ECOSPORT TDCI,0,1
3.5,35000,10,MARUTI,WAGON R,1,1
3.15,40000,10,HYUNDAI,I10 SPORTZ,1,1
4.1,17512,5,MARUTI,WAGON R,1,1
10.5,20000,4,HYUNDAI,VENUE SX,1,0
5.75,70000,6,MAHINDRA,TUV 300,0,1
3.05,50000,8,TATA,INDIGO LX,0,1
11.5,18000,4,RENAULT,CAPTUR PLATINE,0,1
5.11,28321,6,MARUTI,SWIFT VXI,1,1
4.1,27000,7,NISSAN,MICRA XL,1,0
4.25,65278,10,HYUNDAI,VERNA 1.6,0,1
7.5,50000,7,RENAULT,DUSTER 110PS,0,1
20.9025,6000,6,MINI,COOPER COOPER,1,0
6.5,76000,7,MARUTI,CIAZ ZDI,0,1
6.27,20000,7,MARUTI,SWIFT VDI,0,1
14.25,65000,9,MERCEDES-BENZ,C-CLASS C,0,0
4.25,62200,9,MARUTI,SWIFT VDI,0,1
6.05,110000,10,TOYOTA,INNOVA 2.5,0,1
6,20000,8,MARUTI,BALENO ZETA,1,1
5.75,40000,7,MARUTI,SWIFT DZIRE,1,1
2.6,97000,11,FIAT,GRANDE PUNTO,0,1
4.25,47000,10,VOLKSWAGEN,VENTO COMFORTLINE,1,1
2.3,25000,10,MARUTI,ALTO K10,1,1
12.25,15000,4,HYUNDAI,CRETA 1.6,0,1
3.75,56823,13,MAHINDRA,XYLO H9,0,1
7.5,50000,8,HONDA,CITY I,1,1
3.5,25000,12,MAHINDRA,BOLERO SLE,0,1
6,90000,8,MARUTI,SWIFT DZIRE,0,1
3.9,45000,10,MARUTI,SWIFT DZIRE,0,1
1.45,77253,16,HONDA,CITY GXI,1,1
7,25000,5,HYUNDAI,I20 ACTIVE,1,1
11.5,110000,10,TOYOTA,FORTUNER 4X2,0,1
3.4,30000,6,RENAULT,KWID CLIMBER,1,1
4.65,39993,7,HONDA,AMAZE S,1,1
1.25,80000,14,HYUNDAI,SANTRO XING,1,1
6,185000,11,MAHINDRA,XUV500 W8,0,1
3.8,90000,10,MARUTI,SWIFT DZIRE,0,1
4,60000,14,MAHINDRA,XYLO E8,0,1
3,90000,9,CHEVROLET,SAIL 1.3,0,1
5,20000,8,HYUNDAI,XCENT 1.2,1,1
8.5,15000,5,HYUNDAI,I20 ASTA,0,1
5.98,40000,5,HYUNDAI,I20 1.2,1,1
7,31180,8,HONDA,CITY I,1,0
9,40000,5,MAHINDRA,TUV 300,0,0
